userid,art_galleries,dance_clubs,juice_bars,restaurants,museums,resorts,parks_picnic_spots,beaches,theaters,religious_institutions,location
455,1.22,0.92,1.04,0.57,0.48,1.36,3.18,2.75,1.76,2.98,Amsterdam_Buitenverblijf_De_Booi
456,0.96,1.68,1.18,0.29,1.36,2.34,3.18,2.7,1.02,3.04,Amsterdam_Volkstuin_de_Eendrach
457,0.96,0.68,0.45,0.46,0.64,1.66,3.18,2.67,1.47,2.4,Amsterdam_Young_Turk
458,0.9,1.04,0.3,0.56,0.32,1.14,3.18,2.8,1.22,2.5,Amsterdam_Ruigoord_Ker
459,0.9,1.04,2,0.53,1.28,2.38,3.19,2.75,1.66,2.4,Amsterdam_Shoeless_open_air_Ruigoor
460,0.7,1.96,0.61,0.48,0.7,1.4,3.18,2.75,1.25,2.8,Amsterdam_Pius_Floris_Boomverzorgin
461,0.67,1.2,0.9,0.5,1.14,2.14,3.18,3.2,1.31,2.82,Amsterdam_Shoeless_Open_Ai
462,0.99,1.24,0.15,0.24,1.38,1.98,3.17,2.61,1.02,3.06,Amsterdam_Magic_Circus_op_IJbur
463,0.83,1.32,0.24,0.54,1.18,2.22,3.18,2.78,1.41,2.8,Amsterdam_Sluis_Jachthaven_IJbur
464,0.99,1.24,1.58,0.46,0.26,2.34,3.18,3.07,1.76,3.04,Amsterdam_Hondenschool_Martin_Gau
465,1.78,1.04,0.72,0.61,0.46,1.68,3.18,2.88,1.47,2.42,Amsterdam_Amsterdam_Dance_Centre_IJbur
466,0.74,1.32,2.05,0.64,1.18,2.26,3.19,3.04,1.34,2.62,Amsterdam_merikahav
467,1.55,1.16,0.66,0.3,0.5,1.34,3.18,2.67,1.22,3.3,Amsterdam_Lanterfanten_festiva
468,0.7,1.36,0.29,0.65,0.78,1.38,3.18,3.38,1.82,2.74,Amsterdam_Loetje_In_De_Ake
469,1.31,0.96,0.86,0.4,0.88,1.54,3.17,2.78,1.41,3.44,Amsterdam_Bierbrouwerij_Deugde
470,1.09,1.4,0.29,0.48,0.22,2.22,3.17,2.77,1.31,3.22,Amsterdam_Strand_Ijbur
471,0.74,1.08,2.26,0.38,1.2,2.22,3.2,2.42,1.38,2.58,Amsterdam_our_tuinhuisj
472,0.74,1.28,0.3,0.43,1.06,1.58,3.17,2.95,1.7,3.14,Amsterdam_Magic_Circus_op_IJbur
473,0.58,1.48,0.21,0.46,0.4,1.28,3.17,2.72,1.95,3.22,Amsterdam_Haven_IJbur
474,0.72,1.52,0.19,0.85,1.26,1.74,3.18,2.94,1.28,2.74,Amsterdam_The_Real_PlayStatio
475,0.96,1.08,1.86,0.32,0.58,1.3,3.18,2.63,1.22,3.12,Amsterdam_Rondje_IJbur
476,1.38,1.12,1.92,0.64,0.62,2.32,3.19,2.94,1.76,2.48,Amsterdam_Joosbanckerweg_18
477,0.64,1.16,1.89,0.4,0.56,1.24,3.18,2.82,1.09,3.18,Amsterdam_The_Real_PlayStatio
478,0.8,1.12,1.16,0.32,0.38,1.04,3.18,2.62,1.18,3.06,Amsterdam_Buitenverblijf_De_Booi
479,0.83,0.84,2.59,0.85,1.1,2.62,3.19,2.69,1.6,2.62,Amsterdam_Speeltuin_Seifertplei
480,0.77,1.16,1.36,0.42,3.3,2.78,3.18,2.58,1.22,2.94,Amsterdam_Shoeless_OpemAi
481,0.64,0.6,1.06,0.53,0.7,1.5,3.18,2.66,1.86,2.64,Amsterdam_Shoeless_OpemAi
482,0.42,1.36,1.49,0.71,1.06,1.68,3.19,2.86,1.25,2.56,Amsterdam_The_Real_PlayStatio
483,1.38,1.28,0.22,0.55,0.26,0.9,3.18,2.74,1.31,3.04,Amsterdam_Huis_van_jody_en_kare
484,0.58,2.96,1.9,0.53,1.44,2.24,3.19,3.18,2.18,2.7,Amsterdam_Joosbanckerweg_18
485,0.83,1.72,1.88,0.51,1.42,2.64,3.19,2.9,1.76,2.54,Amsterdam_Kermis_IJbur
486,0.7,1.2,1.42,0.27,0.46,1.58,3.18,2.66,1.09,2.8,Amsterdam_Zanzibar_Bar_Priv
487,0.96,1.28,0.21,0.62,0.72,2.44,3.18,2.94,1.38,2.7,Amsterdam_Mijn_balkon_met_stoel_uit_Burkina_Fas
488,0.7,1,0.18,0.57,2.58,2.34,3.17,3.06,1.98,2.96,Amsterdam_olygoongrac
489,1.18,1.32,0.62,0.31,1.06,1.74,3.17,2.91,1.25,3.38,Amsterdam_olygoongrac
490,0.99,0.92,0.32,0.79,0.78,1.78,3.18,2.77,1.98,2.62,Amsterdam_Voetbalclub_Nieuw-Wes
491,1.38,1.12,1.8,0.37,0.82,1.16,3.18,2.69,1.22,3.3,Amsterdam_aarlemmerw
492,1.18,1.28,0.26,0.33,1.1,1.36,3.17,3.03,1.76,3.38,Amsterdam_Haven_IJbur
493,0.7,1.16,0.14,0.39,0.9,1.18,3.17,2.79,1.15,2.96,Amsterdam_Het_nieuwe_Bijenpar
494,1.09,2.64,2.54,0.53,0.7,2.18,3.19,2.79,1.6,2.34,Amsterdam_Buitenverblijf_De_Booi
495,0.93,2.2,0.35,0.57,0.46,1.58,3.18,2.78,2.21,2.74,Amsterdam_Buitenverblijf_De_Booi
496,0.77,1.36,0.18,0.39,1.3,2.1,3.16,2.95,1.02,3.5,Amsterdam_Martin_Gaus_Hondenschoo
497,0.51,0.88,0.26,0.48,0.96,1.42,3.17,2.88,1.02,3.04,Amsterdam_S.V._Eendrach
498,0.61,1.24,2.32,0.51,1.04,2.58,3.19,2.75,1.6,2.46,Amsterdam_Kooter_hoovenier
499,0.77,1.16,2.13,0.45,1.3,1.74,3.18,2.96,1.47,2.94,Amsterdam_Kooter_hoovenier
500,0.9,1.12,0.67,0.5,1.38,2.1,3.18,2.98,1.41,2.86,Amsterdam_BeeVee_Stran
501,0.96,2,1.94,0.51,1.02,1.7,3.19,2.7,1.7,2.38,Amsterdam_Huis_van_jody_en_kare
502,2.72,1.96,1.39,0.32,1.06,2.46,3.18,2.86,1.15,2.86,Amsterdam_Tuinpark_Osdor
503,0.9,1.08,2.48,0.41,0.82,1.78,3.18,2.83,1.41,3.46,Amsterdam_iemerparkla
504,0.64,1.28,0.48,0.35,0.7,1.58,3.18,3.01,2.18,2.98,Amsterdam_Westgaarde_Begraafplaat
505,0.99,1.04,0.35,0.58,0.74,2.22,3.18,2.99,1.5,2.78,Amsterdam_Sem_Presserhof_Speeltui
506,2.5,2,0.24,0.51,0.8,1.78,3.17,2.89,1.54,3.12,Amsterdam_eukenple
507,0.86,1.04,1.31,0.48,0.56,1.78,3.18,3.05,2.05,2.62,Amsterdam_Buitenverblijf_De_Booi
508,0.7,1,1.78,0.64,2.98,2.36,3.18,2.74,1.15,2.5,Amsterdam_Salon_Osdor
509,0.86,0.76,1.06,0.51,2.62,2.34,3.18,2.81,1.09,2.7,Amsterdam_Jachthaven_ijbur
510,1.12,2.04,0.19,0.33,0.26,1.36,3.17,3.07,1.34,3.18,Amsterdam_HCA_IJbur
511,1.22,1.16,2.18,0.55,1.38,2.52,3.19,2.66,1.92,2.54,Amsterdam_Volkstuin_de_Eendrach
512,0.96,1.2,0.19,0.33,0.66,1.24,3.16,2.94,1.28,3.62,Amsterdam_Tigeno_Tuincomple
513,0.67,1.24,0.96,0.53,0.78,1.44,3.18,2.9,1.6,2.88,Amsterdam_Nijlpaard_slui
514,0.77,1.88,2.43,0.65,1.06,3.12,3.2,2.69,2.11,2.4,Amsterdam_Start_Amsterdam_Shortrall
515,0.86,1.2,0.35,0.42,0.96,1.72,3.17,2.57,0.96,3.06,Amsterdam_merikahav
516,0.9,1,2.84,0.5,1.28,2.14,3.2,2.97,1.54,2.54,Amsterdam_HCA_IJbur
517,1.31,0,0.26,0.72,0.96,1.16,3.18,2.9,2.14,2.88,Amsterdam_Amsterdamse_golf_clu
518,0.64,1.04,2.03,0.53,1.6,1.9,3.18,2.9,1.12,2.88,Amsterdam_Voetbalclub_Nieuw-Wes
519,0.96,1.28,0.22,0.37,0.82,2.14,3.18,2.62,1.34,2.8,Amsterdam_Tuin_Van_Vriende
520,0.77,1.08,0.3,0.55,1.06,2.26,3.18,3.23,1.73,2.66,Amsterdam_Biljartcentrum_Osdor
521,0.51,1.36,0.13,0.33,0.7,1.02,3.18,2.89,1.63,2.7,Amsterdam_Tuinhuisje_Van_Pauline_En_Jeroe
522,0.86,1.04,1.89,0.61,1.46,2.3,3.19,2.77,1.92,2.62,Amsterdam_De_Grote_Braa
523,0.51,1.08,2.48,0.57,0.66,1.8,3.19,2.58,1.38,2.32,Amsterdam_Bierbrouwerij_Deugde
524,0.74,0.96,0.26,0.42,0.86,1.54,3.17,2.86,1.63,3.04,Amsterdam_Jachthaven_De_hooglande
525,0.7,1.64,2.46,0.57,1.46,2.54,3.2,2.95,1.89,2.38,Amsterdam_De_Boterbloe
526,0.86,1.36,1.68,0.49,1.3,3.04,3.19,2.7,1.31,2.78,Amsterdam_Zanzibar_Bar_Priv
527,0.7,1.12,1.23,0.49,1.52,2.34,3.18,2.78,1.76,2.66,Amsterdam_Magic_Circus_op_IJbur
528,0.77,1.4,0.16,0.59,0.94,1.94,3.18,3.06,1.41,2.66,Amsterdam_ecozone_Osdor
529,1.34,1.64,0.37,0.39,0.58,1.94,3.18,2.72,1.66,2.94,Amsterdam_De_Grote_Braa
530,0.53,0.96,0.18,0.58,0.66,1.4,3.18,2.95,1.5,2.42,Amsterdam_Start_Amsterdam_Shortrall
531,0.86,0.6,0.24,0.64,0.94,1.7,3.18,2.78,1.44,2.34,Amsterdam_our_tuinhuisj
532,1.12,0.16,0.19,0.69,0.62,1.44,3.18,2.9,1.73,2.46,Amsterdam_Joosbanckerweg_18
533,0.83,1.2,1.25,0.56,1.04,2.02,3.18,2.66,1.86,2.66,Amsterdam_Nijlpaard_slui
534,0.8,1.08,1.45,0.45,0.98,1.7,3.18,2.9,1.09,3.02,Amsterdam_Tussn_de_Koei
535,0.9,0.88,1.84,0.41,0.72,2,3.18,2.66,1.06,2.82,Amsterdam_Westgaarde_Begraafplaat
536,0.58,1.12,1.57,0.45,0.78,1.5,3.18,2.77,1.44,2.9,Amsterdam_Bierbrouwerij_De_7_Deugde
537,0.74,2.24,2.63,0.72,1.4,3.76,3.2,2.75,1.63,2.48,Amsterdam_Huis_van_jody_en_kare
538,0.64,1.04,2.35,0.51,1.42,1.66,3.19,2.66,2.21,2.5,Amsterdam_Lanterfanten_festiva
539,0.61,1.84,0.61,0.47,2.18,2.5,3.18,2.83,1.92,2.98,Amsterdam_aveneila
540,0.96,1.16,0.36,0.42,0.22,2.8,3.18,2.83,1.98,2.64,Amsterdam_Martin_Gaus_Hondenschoo
541,0.8,1.36,0.75,0.35,0.9,1.78,3.18,2.86,1.22,2.82,Amsterdam_Nysas_uitlaatple
542,1.44,0.28,0.18,0.34,0.26,1.74,3.17,2.64,0.9,2.88,Amsterdam_De_Osdorperbinnenpolder_Noor
543,0.83,1.08,0.24,0.46,0.5,1.52,3.18,2.98,1.98,2.8,Amsterdam_Bert_Haanstra_Kad
544,0.7,1.56,0.96,0.4,1.18,1.88,3.17,2.77,1.06,3.34,Amsterdam_Speeltuin_Talbotstraa
545,0.99,1.04,1.17,0.57,0.98,2.1,3.19,2.74,1.38,2.4,Amsterdam_Nijlpaard_slui
546,0.86,2.96,0.24,0.41,0.72,1.62,3.18,2.98,1.54,2.98,Amsterdam_Marcs_Plac
547,0.61,1.64,0.18,0.46,1.02,1.9,3.17,2.59,1.34,3.04,Amsterdam_eukenple
548,0.96,1.48,0.21,0.58,0.42,1.28,3.18,2.95,1.98,2.66,Amsterdam_Amsterdam_Dance_Centre_IJbur
549,0.96,1.92,1.18,0.61,0.9,1.98,3.18,2.82,1.7,2.62,Amsterdam_Strand_Ijbur
550,0.96,1.32,0.34,0.48,0.82,1.7,3.17,2.95,1.34,3.34,Amsterdam_Nysas_uitlaatple
551,1.23,1,0.59,0.35,1.02,1.62,3.18,2.85,2.02,2.98,Amsterdam_Sem_Presserhof_Speeltui
552,1.06,1.04,2.5,0.56,1.78,2.8,3.2,2.72,2.18,2.54,Amsterdam_iemerparkla
553,0.9,0.88,1.17,0.47,0.7,2.1,3.18,3.06,2.05,2.62,Amsterdam_Surfschool_ijbur
554,1.63,1.2,0.67,0.75,1.02,2.2,3.18,2.85,1.34,2.42,Amsterdam_De_Grote_Braa
555,0.67,2.4,0.34,0.53,1.26,2.2,3.18,2.71,1.73,2.7,Amsterdam_Speeltuin_Talbotstraa
556,0.7,0.88,2.66,0.5,1.04,1.46,3.19,2.88,1.54,2.4,Amsterdam_Bert_Haanstra_Kad
557,0.58,1.48,0.24,0.49,0.42,1.38,3.18,2.82,1.6,2.88,Amsterdam_Huisje_Tuinpark_Osdor
558,0.96,0.88,0.22,0.53,0.42,1.8,3.18,2.74,2.46,2.78,Amsterdam_Shoeless_OpemAi
559,0.96,1,0.3,0.33,0.88,1.58,3.17,2.98,2.11,3.34,Amsterdam_Martin_Gaus_Hondenschoo
560,1.06,0.8,0.29,0.35,1.3,2.12,3.18,3.03,1.7,2.94,Amsterdam_Tussn_de_Koei
561,0.74,0.8,1.82,0.5,1.2,1.74,3.18,2.63,1.63,2.58,Amsterdam_Magic_Circus_op_IJbur
562,0.93,1.6,3.11,0.49,0.96,2.08,3.2,2.61,1.5,2.38,Amsterdam_Strand_Ijbur
563,0.9,0.88,1.94,0.55,1.12,2.18,3.18,2.85,1.47,2.7,Amsterdam_Biljartcentrum_Osdor
564,0.7,1.52,1.46,0.5,0.94,1.7,3.18,2.64,0.96,2.94,Amsterdam_The_Real_PlayStatio
565,0.77,1.56,0.24,0.62,0.98,2.1,3.18,2.86,1.66,2.48,Amsterdam_POWER_SOUND_STUDI
566,0.99,1.08,1.41,0.24,1.52,2.08,3.18,2.74,1.22,2.94,Amsterdam_Tussn_de_Koei
567,0.74,1.68,2.89,0.57,0.94,1.92,3.2,2.86,1.34,2.34,Amsterdam_Jachthaven_ijbur
568,0.7,1.6,2.36,0.48,1.18,1.73,3.2,2.98,1.31,2.42,Amsterdam_S.V._Eendrach
569,1.15,2.12,2.06,0.56,1.68,1.86,3.19,2.62,1.44,2.42,Amsterdam_United_Stevedores_Amsterda
570,0.58,1.2,0.32,0.43,1.04,2.54,3.18,2.95,1.18,3.26,Amsterdam_Amsterdam_Dance_Centre_IJbur
571,0.9,2.16,2.06,0.56,1.66,2.17,3.19,2.72,1.44,2.42,Amsterdam_Salon_Osdor
572,0.74,1.36,0.21,0.29,0.62,1.48,3.17,2.98,1.18,3.38,Amsterdam_our_tuinhuisj
573,0.77,1.08,1.82,0.39,1.06,2.32,3.19,2.85,1.41,2.4,Amsterdam_Nijlpaard_slui
574,0.67,1.76,0.3,0.41,0.26,1.58,3.18,2.67,2.24,3.42,Amsterdam_Tuinpark_Osdor
575,0.96,1.44,0.72,0.62,0.82,2.7,3.18,3.02,1.82,2.78,Amsterdam_AFC_IJbur
576,0.74,1.28,1.36,0.66,1.26,2.48,3.18,2.83,1.28,2.64,Amsterdam_aarlemmerw
577,0.77,0.88,0.24,0.43,1.02,2.1,3.18,3.03,1.76,2.64,Amsterdam_Hondenschool_Martin_Gau
578,0.64,1.48,0.24,0.56,0.74,1.72,3.18,2.8,1.66,2.88,Amsterdam_De_Boterbloe
579,0.67,1.48,0.26,0.56,0.62,1.26,3.18,2.81,1.54,2.9,Amsterdam_Tuin_Van_Vriende
580,0.86,0.96,0.74,1.12,0.96,1.7,3.18,2.8,1.57,2.56,Amsterdam_Jachthaven_Osdor
581,0.83,1.36,1.07,0.33,0.56,2.16,3.18,2.74,1.6,2.82,Amsterdam_Jachthaven_Osdor
582,0.64,1.36,1.52,0.47,1.02,2.68,3.18,2.79,1.41,2.7,Amsterdam_Amsterdam_Dance_Centre_IJbur
583,0.9,1.2,0.85,0.62,1.18,2.14,3.18,2.78,1.54,2.74,Amsterdam_Nijlpaard_slui
584,0.67,1.6,0.19,0.45,1.02,1.42,3.18,2.86,1.73,2.88,Amsterdam_Uitzichtpunt_picknicktafel_lange_brette
585,1.06,1.28,0.16,0.47,1.04,1.6,3.17,2.72,1.18,3.26,Amsterdam_Amsterdam_Dance_Centre_IJbur
586,1.47,1.04,0.43,0.48,0.74,1.1,3.17,3.01,1.63,3.2,Amsterdam_Ruigoord_Ker
587,0.48,1.12,0.7,0.33,0.38,1.42,3.18,2.88,1.47,2.78,Amsterdam_Theo_van_Goghpar
588,0.96,1.6,0.29,0.32,0.62,1.62,3.18,2.79,1.25,2.9,Amsterdam_Surfschool_ijbur
589,0.58,1.04,2.77,0.58,0.46,1.98,3.19,2.66,1.38,2.5,Amsterdam_Amsterdam_Dance_Centre_IJbur
590,0.93,2.08,0.27,0.39,1.1,2.58,3.18,2.89,1.89,2.78,Amsterdam_ecozone_Osdor
591,0.96,1.12,0.91,0.5,0.82,1.66,3.18,2.81,1.63,2.72,Amsterdam_Jachthaven_Osdor
592,0.83,1.32,0.18,0.31,1.22,1.5,3.17,2.98,1.38,3.04,Amsterdam_Nijlpaard_slui
593,0.7,2.28,0.22,2.38,0.38,1.28,3.18,2.81,1.38,2.66,Amsterdam_Volkstuin_de_Eendrach
594,0.83,1.96,1.33,0.54,1.44,2.54,3.18,2.87,1.28,2.74,Amsterdam_Rondje_IJbur
595,1.12,0.8,0.91,0.39,0.48,1.56,3.18,2.96,1.38,2.7,Amsterdam_AFC_IJbur
596,1.76,0.6,1.57,0.35,0.5,1.66,3.18,2.98,1.5,2.72,Amsterdam_Joosbanckerweg_18
597,0.96,1.32,0.37,0.49,0.74,1.66,3.17,2.97,1.41,3.36,Amsterdam_Westgaarde_Begraafplaat
598,0.77,1.08,0.22,0.65,0.88,2.02,3.18,2.86,1.79,2.54,Amsterdam_Jachthaven_Osdor
599,0.86,0.96,2.02,0.5,1.28,1.58,3.19,2.7,1.79,2.66,Amsterdam_De_Kwekeri
600,1.12,2.96,0.16,0.5,0.48,1.76,3.18,2.78,1.76,2.72,Amsterdam_olygoongrac
601,0.64,1.36,0.91,0.4,0.86,1.1,3.18,2.83,1.47,3.06,Amsterdam_Amsterdam_Panther
602,1.15,0.8,0.26,3.1,0.64,1.86,3.18,2.77,2.02,2.62,Amsterdam_Bert_Haanstra_Kad
603,0.67,2.2,2.34,0.61,0.9,2.12,3.19,2.61,1.41,2.46,Amsterdam_iemerparkla
604,0.77,1.48,0.29,0.35,0.16,0.82,3.17,2.94,1.09,3.26,Amsterdam_BeeVee_Stran
605,1.22,0.68,1.41,0.91,1.34,2.82,3.19,3.09,2.11,2.5,Amsterdam_Sport_En_Judocentrum_Osdor
606,0.64,1.2,0.94,0.39,0.94,2.02,3.19,3.09,1.28,2.26,Amsterdam_Nederlandse_Rugby_BondRugb
607,1.09,1,1.02,0.4,1.02,1.38,3.18,2.58,0.74,3.26,Amsterdam_De_Tuinen_Van_Wes
608,1.31,1.36,0.75,0.48,0.5,1.7,3.18,2.89,1.34,2.78,Amsterdam_Rondje_IJbur
609,1.06,3.12,1.58,0.48,0.56,3.34,3.18,2.67,1.76,2.94,Amsterdam_IJburg_volgens_mij
610,0.7,1.32,0.34,0.59,0.4,1.02,3.18,2.85,1.31,2.82,Amsterdam_Start_Amsterdam_Shortrall
611,0.66,0.64,2.01,0.58,0.82,1.54,3.18,3.02,1.22,2.88,Amsterdam_Shoeless_open_air_Ruigoor
612,0.74,1.04,1.3,0.62,1.26,2.42,3.18,2.78,1.57,2.5,Amsterdam_Salon_Osdor
613,0.83,0.92,0.82,0.39,1.28,2.14,3.18,3.39,1.63,2.8,Amsterdam_Nysas_uitlaatple
614,0.67,1.28,0.26,0.51,1.02,1.26,3.17,2.87,3.01,3.3,Amsterdam_Westgaarde_Begraafplaat
615,1.87,0.28,1.14,0.5,0.9,1.94,3.18,2.97,1.82,2.58,Amsterdam_Volkstuin_de_Eendrach
616,0.54,1.16,0.38,0.33,1.38,1.58,3.17,2.7,1.06,3.44,Amsterdam_Start_Amsterdam_Shortrall
617,0.7,1.44,0.22,0.64,0.56,2.04,3.18,2.85,1.7,2.78,Amsterdam_Tussn_de_Koei
618,1.82,1.56,0.62,0.39,0.58,1.62,3.18,2.93,2.14,3.42,Amsterdam_Nijlpaard_slui
619,1.25,1.04,0.43,0.43,1.04,2.5,3.18,3.03,1.6,2.88,Amsterdam_sdorperpold
620,0.96,1.32,0.56,0.38,0.66,1.54,3.17,2.85,1.41,3.12,Amsterdam_Amsterdam_Panther
621,0.74,1.32,0.16,0.49,1.22,1.46,3.17,2.7,2.08,2.88,Amsterdam_Bert_Haanstra_Kad
622,0.8,1.8,1.25,0.55,1.38,2.5,3.18,2.85,1.7,2.42,Amsterdam_IJburg_volgens_mij
623,0.99,1.32,2.03,0.43,0.88,1.54,3.18,2.7,2.08,2.78,Amsterdam_Biljartcentrum_Osdor
624,0.74,0.96,0.62,0.51,0.96,1.84,3.18,2.8,2.05,3.02,Amsterdam_Sport_En_Judocentrum_Osdor
625,0.9,1.48,1.46,0.42,0.42,1.02,3.18,2.71,1.73,2.96,Amsterdam_merikahav
626,1.66,0.24,0.43,0.59,0.8,1.06,3.18,2.95,1.38,2.48,Amsterdam_Huis_van_jody_en_kare
627,0.8,1.92,1.6,0.5,2.08,3.2,3.19,2.89,1.5,2.54,Amsterdam_Shoeless_open_air_Ruigoor
628,0.75,1.08,1.88,0.34,0.9,1.58,3.18,2.73,1.6,2.5,Amsterdam_Hondenschool_Martin_Gau
629,0.7,0.88,0.19,0.43,0.14,1.66,3.17,2.75,1.18,2.98,Amsterdam_Konijnenopvang_Amsterda
630,0.58,1.44,0.21,0.41,1.06,1.56,3.18,2.9,3.04,2.54,Amsterdam_United_Stevedores_Amsterda
631,0.7,1.36,0.19,0.41,0.86,1.28,3.17,2.72,2.37,3.1,Amsterdam_Tussn_de_Koei
632,2.05,1.2,0.19,0.34,0.48,1.02,3.17,2.81,1.92,3.44,Amsterdam_Konijnenopvang_Amsterda
633,0.51,1.2,0.42,0.49,0.9,1.2,3.17,2.56,1.5,2.98,Amsterdam_A.S.R.V_Ascru
634,0.61,1.2,2.05,0.61,1.3,3.06,3.19,2.79,1.57,2.42,Amsterdam_Loetje_In_De_Ake
635,0.83,1.96,0.83,0.46,0.5,1.34,3.18,2.78,1.09,2.7,Amsterdam_De_Tuinen_Van_Wes
636,0.8,1.12,1.6,0.63,1.5,1.74,3.18,2.86,1.12,2.9,Amsterdam_Tuinhuisje_Van_Pauline_En_Jeroe
637,0.86,1.4,1.25,0.55,2.02,2.62,3.18,2.88,1.38,2.54,Amsterdam_Nijlpaard_slui
638,1.38,0.96,1.07,0.66,1.06,2.18,3.18,2.85,1.31,2.64,Amsterdam_BeeVee_Stran
639,1.06,1.44,0.42,0.58,0.7,1.68,3.17,2.95,1.7,3.38,Amsterdam_Salon_Osdor
640,0.51,1.96,0.21,0.42,0.72,1.38,3.18,2.87,1.82,2.82,Amsterdam_De_Grote_Braa
641,1.73,0.84,2.61,0.63,1.1,2.42,3.19,2.98,1.73,2.78,Amsterdam_A.S.R.V_Ascru
642,0.54,2.96,0.38,0.61,1.62,2.42,3.18,3.22,2.43,2.8,Amsterdam_Buitenverblijf_De_Booi
643,1.09,2.76,0.21,0.66,0.32,2.28,3.18,2.72,1.5,2.58,Amsterdam_S.V._Eendrach
644,0.74,1.56,0.24,0.61,0.7,1.42,3.18,2.82,1.5,2.96,Amsterdam_United_Stevedores_Amsterda
645,0.93,2.24,1.9,0.49,1.76,3.06,3.19,2.69,2.02,2.48,Amsterdam_A.S.R.V_Ascru
646,0.61,1.56,0.19,0.41,0.86,1.14,3.18,2.81,1.6,2.8,Amsterdam_Magic_Circus_op_IJbur
647,0.94,0.8,0.35,0.56,0.48,1.78,3.18,2.86,2.18,2.66,Amsterdam_The_Roya
648,0.64,1.52,0.21,0.39,0.98,1.38,3.16,2.77,1.66,3.38,Amsterdam_aarlemmerw
649,0.38,1.44,0.34,0.5,1.26,1.94,3.18,2.9,2.37,3.04,Amsterdam_Aristos_Hal_Amsterda
650,1.09,1.96,1.17,0.51,1.62,2.74,3.18,2.74,1.28,2.4,Amsterdam_Speeltuin_Dageurrestraa
651,0.58,1.24,0.26,0.56,0.96,1.7,3.18,3.2,2.14,2.78,Amsterdam_Spacen_als_planete
652,0.8,1.32,0.34,0.24,0.46,1.02,3.17,2.9,1.44,3.28,Amsterdam_Huisje_Tuinpark_Osdor
653,0.61,1.56,0.19,0.41,0.86,1.14,3.18,2.81,1.6,2.8,Amsterdam_utkemeerpold
654,0.7,1.32,0.32,0.51,0.82,1.34,3.18,3.04,1.76,3.04,Amsterdam_aveneila
655,0.48,1.12,2.35,0.58,0.78,1.98,3.19,2.63,1.25,2.4,Amsterdam_United_Stevedores_Amsterda
656,0.74,1.56,2.27,0.66,1.3,2.56,3.19,2.65,1.54,2.4,Amsterdam_POWER_SOUND_STUDI
657,0.7,1.64,1.07,0.39,1.04,1.54,3.18,2.82,1.47,3.06,Amsterdam_POWER_SOUND_STUDI
658,1.34,0.76,1.1,0.47,1.66,2,3.18,2.87,1.18,2.66,Amsterdam_merikahav
659,0.72,1.6,0.67,0.34,0.78,1.58,3.17,3.18,1.15,3.42,Amsterdam_Sluis_Jachthaven_IJbur
660,0.8,1.8,0.37,0.51,1.06,1.58,3.17,2.81,1.54,3.18,Amsterdam_merikahav
661,0.99,1.96,2.46,0.53,0.34,1.58,3.2,2.82,1.44,2.54,Amsterdam_Amsterdamse_golf_clu
662,1.09,0.64,1.12,0.42,0.7,1.54,3.18,3.07,1.44,2.66,Amsterdam_Tigeno_Tuincomple
663,0.7,0.8,2.56,0.5,1.1,1.5,3.19,2.86,1.47,2.38,Amsterdam_Bert_Haanstra_Kad
664,0.93,0.92,0.18,0.5,1.02,2.4,3.17,2.91,1.09,3.18,Amsterdam_Shoeless_OpemAi
665,1.06,1.28,1.3,0.43,0.24,0.46,3.17,2.86,1.15,3.38,Amsterdam_Loetje_In_De_Ake
666,1.5,1.16,2.37,0.27,0.58,1.9,3.18,2.78,1.54,3.2,Amsterdam_Kermis_IJbur
667,1.95,1.52,1.94,3.44,0.64,2.94,3.2,2.62,1.54,2.46,Amsterdam_Buitenverblijf_De_Booi
668,1.25,1.04,1.58,0.67,0.88,2.42,3.18,2.7,1.34,2.9,Amsterdam_Joris_Ivensplei
669,0.54,1.16,0.8,0.32,0.66,1.44,3.17,2.79,1.09,3.28,Amsterdam_Kermis_IJbur
670,0.51,1.48,0.21,0.41,1.2,1.66,3.17,2.83,1.63,3.3,Amsterdam_Konijnenopvang_Amsterda
671,1.63,0.96,0.34,0.49,0.38,2.06,3.17,2.86,1.92,3.46,Amsterdam_our_tuinhuisj
672,0.77,1.6,2.46,0.59,2.16,2.64,3.19,2.85,2.21,2.5,Amsterdam_Uitzichtpunt_picknicktafel_lange_brette
673,1.76,0.68,1.31,0.46,0.34,0.8,3.18,2.74,0.96,2.54,Amsterdam_Tigeno_Tuincomple
674,0.86,1,0.29,0.47,0.24,1.46,3.18,2.74,1.73,2.4,Amsterdam_IJburg_volgens_mij
675,0.83,0.6,0.19,0.61,0.94,1.66,3.18,2.74,1.47,2.34,Amsterdam_Amsterdam_Panther
676,0.58,1.96,0.18,0.38,0.74,1.08,3.18,2.66,2.18,2.78,Amsterdam_Speeltuin_Dageurrestraa
677,0.77,1.16,0.32,0.26,0.5,1.14,3.17,2.89,1.44,3.34,Amsterdam_Speeltuin_Seifertplei
678,2.26,0.4,2.08,0.5,1.18,2.86,3.19,2.75,1.6,2.42,Amsterdam_Jachthaven_De_hooglande
679,1.66,1.04,0.91,0.43,0.72,1.74,3.17,2.77,0.86,3.46,Amsterdam_S.V._Eendrach
680,0.8,1.56,0.34,0.41,0.8,1.66,3.17,2.91,1.38,3.26,Amsterdam_Magic_Circus_op_IJbur
